reason,space_key,page_id,title,body_chars,word_count,relative_path,source_url
empty_category_page,FAQE,16876467,iLoader,0,0,FAQE/Home/11. Utilities/iLoader__16876467.md,https://docs.altibase.com/display/FAQE/iLoader
empty_category_page,FAQE,16876463,11. Utilities,0,0,FAQE/Home/11. Utilities__16876463.md,https://docs.altibase.com/display/FAQE/11.+Utilities
empty_category_page,FAQE,16876472,12. Others,0,0,FAQE/Home/12. Others__16876472.md,https://docs.altibase.com/display/FAQE/12.+Others
empty_category_page,FAQE,16876479,13. General,0,0,FAQE/Home/13. General__16876479.md,https://docs.altibase.com/display/FAQE/13.+General
empty_category_page,FAQE,1802675,Useful SQL,0,0,FAQE/Home/ALTIBASE HDB Administration/Useful SQL__1802675.md,https://docs.altibase.com/display/FAQE/Useful+SQL
empty_category_page,faq,6520880,"01. 설치, 패치, 업그레이드",0,0,"faq/Home/01. 설치, 패치, 업그레이드__6520880.md",https://docs.altibase.com/pages/viewpage.action?pageId=6520880
empty_category_page,faq,6520882,02. 운영 및 관리,0,0,faq/Home/02. 운영 및 관리__6520882.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520882
empty_category_page,faq,6520884,03. 이중화,0,0,faq/Home/03. 이중화__6520884.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520884
empty_category_page,faq,6520903,04. 백업 및 복구,0,0,faq/Home/04. 백업 및 복구__6520903.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520903
empty_category_page,faq,6520888,05. SQL,0,0,faq/Home/05. SQL__6520888.md,https://docs.altibase.com/display/faq/05.+SQL
empty_category_page,faq,6521517,06. Stored Procedures,0,0,faq/Home/06. Stored Procedures__6521517.md,https://docs.altibase.com/display/faq/06.+Stored+Procedures
empty_category_page,faq,6521522,07-02. JDBC,0,0,faq/Home/07. 개발 및 API/07-02. JDBC__6521522.md,https://docs.altibase.com/display/faq/07-02.+JDBC
empty_category_page,faq,6521524,07-03. ODBC,0,0,faq/Home/07. 개발 및 API/07-03. ODBC__6521524.md,https://docs.altibase.com/display/faq/07-03.+ODBC
empty_category_page,faq,6521526,07-04. PHP,0,0,faq/Home/07. 개발 및 API/07-04. PHP__6521526.md,https://docs.altibase.com/display/faq/07-04.+PHP
empty_category_page,faq,6520896,07. 개발 및 API,0,0,faq/Home/07. 개발 및 API__6520896.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520896
empty_category_page,faq,8454640,08-09. 메모리 테이블스페이스 사용량,0,0,faq/Home/08. 모니터링/08-09. 메모리 테이블스페이스 사용량__8454640.md,https://docs.altibase.com/pages/viewpage.action?pageId=8454640
empty_category_page,faq,8454974,08-11. 언두 테이블스페이스(UNDO TABLESPACE),0,0,faq/Home/08. 모니터링/08-11. 언두 테이블스페이스(UNDO TABLESPACE)__8454974.md,https://docs.altibase.com/pages/viewpage.action?pageId=8454974
empty_category_page,faq,6520890,08. 모니터링,0,0,faq/Home/08. 모니터링__6520890.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520890
empty_category_page,faq,6520894,09. 에러메시지,0,0,faq/Home/09. 에러메시지__6520894.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520894
empty_category_page,faq,6520898,10. 마이그레이션,0,0,faq/Home/10. 마이그레이션__6520898.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520898
empty_category_page,faq,6521528,11-02. iLoader,0,0,faq/Home/11. 유틸리티/11-02. iLoader__6521528.md,https://docs.altibase.com/display/faq/11-02.+iLoader
empty_category_page,faq,6520892,11. 유틸리티,0,0,faq/Home/11. 유틸리티__6520892.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520892
empty_category_page,faq,6520900,12. 기타,0,0,faq/Home/12. 기타__6520900.md,https://docs.altibase.com/pages/viewpage.action?pageId=6520900
empty_category_page,faq,6521038,13. 일반,0,0,faq/Home/13. 일반__6521038.md,https://docs.altibase.com/pages/viewpage.action?pageId=6521038
home_or_recent_updates,DOCK,7340036,Home,5712,158,DOCK/Home__7340036.md,https://docs.altibase.com/display/DOCK/Home
home_or_recent_updates,FAQE,6979649,Home,249,49,FAQE/Home__6979649.md,https://docs.altibase.com/display/FAQE/Home
home_or_recent_updates,arch,557064,Home,5530,185,arch/Home__557064.md,https://docs.altibase.com/display/arch/Home
home_or_recent_updates,faq,6062093,Home,6712,364,faq/Home__6062093.md,https://docs.altibase.com/display/faq/Home
