mapping_id	ko_path	source_type	en_target_paths	assigned_audit_job	primary_owner_job	supporting_jobs	previous_evidence_refs	path_validation	notes
D030	DOCK/Home/30. Altibase JBoss 연동가이드__13437492.md	technical_doc	arch/Home/JBOSS Integration Guide for Altibase__14647358.md; arch/Home/JBOSS Integration Guide for Altibase/1. JBoss Installation__14647370.md; arch/Home/JBOSS Integration Guide for Altibase/2. Integrating Altibase and JBOSS__14647372.md; arch/Home/JBOSS Integration Guide for Altibase/3. Examples__14647382.md	S012	S012	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
D031	DOCK/Home/31. Altibase 설치가이드__11698403.md	technical_doc	arch/Home/Altibase Installation Guide__14647632.md; arch/Home/Altibase Installation Guide/1. Altibase HDB package installer__14647639.md; arch/Home/Altibase Installation Guide/2. Product Installation using the Package Installer__14647653.md; arch/Home/Altibase Installation Guide/3. License Key Request__14647666.md	S003	S003	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P202	exists	Split English target.
D032	DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	technical_doc	arch/Home/Altibase and unixODBC Integration Guide__14647413.md; arch/Home/Altibase and unixODBC Integration Guide/1. unixODBC Manager Installation__14647417.md; arch/Home/Altibase and unixODBC Integration Guide/2. Integrating unixODBC Manager__14647432.md	S011	S011	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P210	exists	Split English target.
D033	DOCK/Home/33. Altibase 개발자교육__19333461.md	technical_doc	arch/Home/Altibase Developer Training__22642996.md	S010	S010	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P209	exists	none
D034	DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	technical_doc	arch/Home/Altibase Precompiler Guide__14647438.md; arch/Home/Altibase Precompiler Guide/1. Considerations for ALTIBASE Development__14647447.md; arch/Home/Altibase Precompiler Guide/2. How to use APRE__14647451.md; arch/Home/Altibase Precompiler Guide/3. APRE Sample Program__14647488.md; arch/Home/Altibase Precompiler Guide/4. Frequently Occurring Error Messages__22643006.md; arch/Home/Altibase Precompiler Guide/5. Considerations when converting from other DBMSs__14647506.md	S010	S010	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P209	exists	Split English target.
D035	DOCK/Home/35. Altibase APRE(SES) _C_C++ Makefile__11698493.md	technical_doc	arch/Home/Altibase APRE(SES) _C_C++ Makefile__15630378.md; arch/Home/Altibase APRE(SES) _C_C++ Makefile/How to make a basic Makefile__15630382.md; arch/Home/Altibase APRE(SES) _C_C++ Makefile/Makefile for AIX xlc__16252935.md; arch/Home/Altibase APRE(SES) _C_C++ Makefile/Makefile for HP acc__16449546.md; arch/Home/Altibase APRE(SES) _C_C++ Makefile/Makefile for Linux gcc__15630400.md; arch/Home/Altibase APRE(SES) _C_C++ Makefile/Makefile for SUN(Solaris) cc__16678920.md; arch/Home/Altibase APRE(SES) _C_C++ Makefile/Notes_Considerations__16678933.md	S010	S010	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P209	exists	Split English target.
D036	DOCK/Home/36. Altibase 개발가이드__7341274.md	technical_doc	arch/Home/Altibase Development Guide__14058519.md; arch/Home/Altibase Development Guide/1. Considerations when Designing__22642998.md; arch/Home/Altibase Development Guide/2. Considerations when Developing__14058531.md; arch/Home/Altibase Development Guide/3. Altibase Trace Logs__22643000.md; arch/Home/Altibase Development Guide/4. CLIENT APPLICATION Error Messages__14058547.md	S016	S016	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P212	exists	Split English target.
D037	DOCK/Home/37. Altibase SQL 튜닝 가이드__19333563.md	technical_doc	arch/Home/Altibase SQL Tuning Guide__22643010.md	S016	S016	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P212	exists	none
D038	DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	technical_doc	arch/Home/Altibase VC 2008 Development Guide__19333567.md	S017	S017	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P213	exists	none
D039	DOCK/Home/39. Altibase, Oracle 비교 자료__14058137.md	technical_doc	arch/Home/Altibase_Oracle Comparison__16875638.md	S016	S016	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P212	exists	none
D040	DOCK/Home/40. Oracle to Altibase 변환가이드__7341605.md	technical_doc	arch/Home/ORACLE to ALTIBASE Conversion Guide__22643038.md	S017	S017	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P213	exists	none
D041	DOCK/Home/41. Altibase Quick Install & Start for UNIX__13436834.md	technical_doc	arch/Home/Altibase Quick Install & Start for UNIX__16875604.md	S003	S003	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P202	exists	none
D042	DOCK/Home/42. Altibase 설치 시 발생할 수 있는 문제상황과 조치__13437056.md	technical_doc	arch/Home/Troubleshooting Altibase Installation Problems__15138879.md	S003	S003	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P202	exists	none
D043	DOCK/Home/43. Altibase STARTUP _ STOP 과정의 이해__13434993.md	technical_doc	arch/Home/Understanding the Altibase Start_Shut down Process__14909450.md; arch/Home/Understanding the Altibase Start_Shut down Process/1. Starting Altibase__14909452.md; arch/Home/Understanding the Altibase Start_Shut down Process/2. Shutting Altibase Down__14909483.md	S005	S005	S009; S019	KO_EN_DOC_REVIEW_REPORT.md J003/J004; PASS2_KO_EN_DOC_REVIEW_REPORT.md P204/P208	exists	Duplicate source: S005 owns full audit; S009 may add recovery-specific cross-reference rows only.
D044	DOCK/Home/44. APRE_C_C++ New Features & 업그레이드 가이드__13435760.md	technical_doc	arch/Home/APRE_C_C++ New Features & Upgrade Guide__22643052.md	S010	S010	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P209	exists	none
D045	DOCK/Home/45. Altibase 운영을 위한 시스템 리소스 용량산정 가이드__14057887.md	technical_doc	arch/Home/System Data Capacity Estimation Guide for Altibase Operations__22643042.md	S005	S005	S019	KO_EN_DOC_REVIEW_REPORT.md J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P204	exists	none
D046	DOCK/Home/46. Altibase 버전 간 마이그레이션 가이드__19333688.md	technical_doc	arch/Home/Altibase Data Migration Process Guide__22642994.md	S017	S017	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P213	exists	none
D047	DOCK/Home/47. 문제분석을 위한 OS별 유틸리티 사용 가이드__13436866.md	technical_doc	arch/Home/Utility Guide for each OS for Problem Analysis__16875587.md	S005	S005	S019	KO_EN_DOC_REVIEW_REPORT.md J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P204	exists	none
D048	DOCK/Home/48. UNIX Memory Management__13436842.md	technical_doc	arch/Home/UNIX Memory Management__16875572.md	S005	S005	S019	KO_EN_DOC_REVIEW_REPORT.md J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P204	exists	none
D049	DOCK/Home/49. Altibase 이중화 제약사항 가이드__19333729.md	technical_doc	arch/Home/Altibase Replication Constraints Guide__22643008.md	S008	S008	S019	KO_EN_DOC_REVIEW_REPORT.md J004; PASS2_KO_EN_DOC_REVIEW_REPORT.md P207	exists	none
D050	DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	technical_doc	arch/Home/Considerations for Altibase Backup Policy__14647709.md; arch/Home/Considerations for Altibase Backup Policy/1. Backup Types__14647714.md; arch/Home/Considerations for Altibase Backup Policy/2. Considerations for Determining Backup Policy__14647722.md; arch/Home/Considerations for Altibase Backup Policy/3. Summary (Considerations for Altibase Backup Policy)__14647728.md	S009	S009	S019	KO_EN_DOC_REVIEW_REPORT.md J004; PASS2_KO_EN_DOC_REVIEW_REPORT.md P208	exists	Split English target.
D051	DOCK/Home/51. Altibase window ADO.NET 개발 가이드__11698513.md	technical_doc	arch/Home/Altibase Window ADO.NET Development Guide__14647565.md; arch/Home/Altibase Window ADO.NET Development Guide/1. ADO.NET Settings__14647569.md; arch/Home/Altibase Window ADO.NET Development Guide/2. ADO.NET Development Guide__14647573.md; arch/Home/Altibase Window ADO.NET Development Guide/3. Frequent Error Messages__14647579.md	S011	S011	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P210	exists	Split English target.
D052	DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	technical_doc	arch/Home/WebSphere Integration Guide for Altibase__14058343.md	S013	S013	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	none
D053	DOCK/Home/53. Windows 환경의 Altibase ODBC 개발 가이드__13436856.md	technical_doc	arch/Home/Altibase ODBC Development Guide in Windows Environment__15138911.md	S011	S011	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P210	exists	none
D054	DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	technical_doc	arch/Home/Spring Integration Guide for Altibase__14058410.md; arch/Home/Spring Integration Guide for Altibase/1. What is Spring__14058412.md; arch/Home/Spring Integration Guide for Altibase/2. Setting before Developing Spring__14058420.md; arch/Home/Spring Integration Guide for Altibase/3. Setting up JDBC Driver__14058424.md; arch/Home/Spring Integration Guide for Altibase/4. Configuring DataSource__14058429.md; arch/Home/Spring Integration Guide for Altibase/5. Additional Connection__14058433.md; arch/Home/Spring Integration Guide for Altibase/6. Transaction Manager__14058437.md; arch/Home/Spring Integration Guide for Altibase/7. Considerations_Notes for Spring Integration__14058445.md; arch/Home/Spring Integration Guide for Altibase/8. Appendix - HelloSpring__14058449.md	S014	S014	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
D055	DOCK/Home/55. Altibase iBATIS 연동가이드__7340053.md	technical_doc	arch/Home/iBatis Integration Guide for Altibase__14058303.md; arch/Home/iBatis Integration Guide for Altibase/1. iBatis Overview__14058305.md; arch/Home/iBatis Integration Guide for Altibase/2. Sample Preparation using iBATIS__14058307.md; arch/Home/iBatis Integration Guide for Altibase/3. Altibase Integration__14058309.md; arch/Home/iBatis Integration Guide for Altibase/4. iBATIS, Spring, Altibase Integration__14058311.md; arch/Home/iBatis Integration Guide for Altibase/5. Spring Integration Guide for Altibase__14058315.md; arch/Home/iBatis Integration Guide for Altibase/Appendix__14058317.md	S014	S014	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
D056	DOCK/Home/56. JAVA 개발 가이드__14057500.md	technical_doc	arch/Home/JAVA Developer's Guide__16875544.md	S011	S011	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P210	exists	none
D057	DOCK/Home/57. Altibase 운영을 위한 Linux 설정 가이드__13436485.md	technical_doc	arch/Home/Linux Setup Guide for Altibase__22643022.md	S004	S004	S019	KO_EN_DOC_REVIEW_REPORT.md J002; PASS2_KO_EN_DOC_REVIEW_REPORT.md P203	exists	none
D058	DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	technical_doc	arch/Home/Hibernate Integration Guide for Altibase__14058388.md	S015	S015	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	none
D059	DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	technical_doc	arch/Home/Altibase Monitoring Queries Guide__14058229.md; arch/Home/Altibase Monitoring Queries Guide/1. Altibase Server Monitoring Overview__14058232.md; arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview__14058238.md; arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview/1. Main meta table and performance views related to session, query, transaction, lock, service thread, and memory DB GC__14058240.md; arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview/2. Major Meta Tables and Performance Views related to tablespace, table, column, index, and constraint__14058242.md; arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview/3. Main Performance View related to Statistical Information__14058244.md; arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview/4. Main Metal Tables and Performance Views Related to Replication__14058248.md; arch/Home/Altibase Monitoring Queries Guide/2. Altibase Meta Table and Performance View Overview/5. Whether Users can Access the Tablespace, System_Object Privileges, PSM, View related Meta Tables and Peformance Views__14058250.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries__14058252.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/1. Session__14058254.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/2. Statement__14058256.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/3. Service Thread__14058260.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/4. Transaction & Lock__14058264.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/5. Redo Logfile__14058266.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/6. GC (Garbage Collector)__14058268.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/7. Memory__14058270.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/8. Tablespace (TBS)__14058272.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/9. Disk Buffer__14058274.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/10. Object__14058276.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/11. Privileges__14058278.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/12. Constraints__14058280.md; arch/Home/Altibase Monitoring Queries Guide/3. Monitoring Elements and Corresponding Monitoring Queries/13. Replication__14058282.md	S006	S006	S019	KO_EN_DOC_REVIEW_REPORT.md J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P205	exists	Split English target.
D060	DOCK/Home/60. Altibase WebLogic 연동가이드__7340101.md	technical_doc	arch/Home/WEBLOGIC Integration Guide for Altibase__14058319.md; arch/Home/WEBLOGIC Integration Guide for Altibase/WebLogic Glossary__14058321.md; arch/Home/WEBLOGIC Integration Guide for Altibase/0. Prerequisites__14058324.md; arch/Home/WEBLOGIC Integration Guide for Altibase/1. WebLogic Setup__14058327.md; arch/Home/WEBLOGIC Integration Guide for Altibase/2. Starting and Shutdown the WebLogic Server Instance__14058329.md; arch/Home/WEBLOGIC Integration Guide for Altibase/3. ALTIBASE and WebLogic Integration__14058331.md; arch/Home/WEBLOGIC Integration Guide for Altibase/4. Fail-Over & Load-Balancing Settings__14058337.md; arch/Home/WEBLOGIC Integration Guide for Altibase/Integration Error__14058339.md	S013	S013	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
D061	DOCK/Home/61. Altibase VC 2010 개발가이드__19334121.md	technical_doc	arch/Home/Altibase VC 2010 Development Guide__19334121.md	S017	S017	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P213	exists	none
D062	DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	technical_doc	arch/Home/Altibase CPU Overload Analysis Guide__14647581.md; arch/Home/Altibase CPU Overload Analysis Guide/1. Routine Checklist__14647587.md; arch/Home/Altibase CPU Overload Analysis Guide/2. General Analysis Procedure__14647591.md; arch/Home/Altibase CPU Overload Analysis Guide/3. CPU Cost of Query Processing__14647598.md; arch/Home/Altibase CPU Overload Analysis Guide/4. CPU problems with other cases__14647606.md; arch/Home/Altibase CPU Overload Analysis Guide/5. Summary__14647615.md	S007	S007	S019	KO_EN_DOC_REVIEW_REPORT.md J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P206	exists	Split English target.
D063	DOCK/Home/63. Altibase Memory 사용량 증가 분석가이드__11698518.md	technical_doc	arch/Home/Altibase Memory Usage Increase Analysis Guide__14647388.md; arch/Home/Altibase Memory Usage Increase Analysis Guide/1. Routine Check of Memory Usage__14647392.md; arch/Home/Altibase Memory Usage Increase Analysis Guide/2. Causes and resolution for increase of Altibase process memory usage__14647396.md	S007	S007	S019	KO_EN_DOC_REVIEW_REPORT.md J003; PASS2_KO_EN_DOC_REVIEW_REPORT.md P206	exists	Split English target.
D064	DOCK/Home/64. Altibase MyBatis 연동 가이드__7340818.md	technical_doc	arch/Home/MyBatis Integration Guide for Altibase__14058349.md; arch/Home/MyBatis Integration Guide for Altibase/1. MyBatis Overview__14058351.md; arch/Home/MyBatis Integration Guide for Altibase/2. Differences Between MyBatis, and iBatis__14058354.md; arch/Home/MyBatis Integration Guide for Altibase/3. Sample Preparation using MyBatis__14058356.md; arch/Home/MyBatis Integration Guide for Altibase/4. Altibase Integration__22643026.md; arch/Home/MyBatis Integration Guide for Altibase/5. MyBatis, Spring, Altibase Integration__22643028.md; arch/Home/MyBatis Integration Guide for Altibase/6. Transaction Management__22643030.md; arch/Home/MyBatis Integration Guide for Altibase/7. Considerations for MyBatis Integration__22643032.md; arch/Home/MyBatis Integration Guide for Altibase/8. Appendix 1 (MyBatis-Altibase Integration)__22643034.md; arch/Home/MyBatis Integration Guide for Altibase/9. Appendix 2(Spring-MyBatis-Altibase Integration)__22643036.md	S015	S015	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P211	exists	Split English target.
D065	DOCK/Home/65. MSSQL to Altibase 변환가이드__7341431.md	technical_doc	arch/Home/MSSQL to ALTIBASE Conversion Guide__22643024.md	S017	S017	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P213	exists	none
D066	DOCK/Home/66. Altibase PHP 연동가이드__7341461.md	technical_doc	arch/Home/PHP Integration Guide for Altibase__14647305.md; arch/Home/PHP Integration Guide for Altibase/1. ALTIBASE HDB PHP Module Reference__14647310.md; arch/Home/PHP Integration Guide for Altibase/2. ODBC Manger Installation for PHP Integration__14647312.md; arch/Home/PHP Integration Guide for Altibase/3. PHP Functions for ODBC Connection__14647314.md	S011	S011	S019	KO_EN_DOC_REVIEW_REPORT.md J005; PASS2_KO_EN_DOC_REVIEW_REPORT.md P210	exists	Split English target.
D067	DOCK/Home/67. Altibase 도커 가이드__14057660.md	technical_doc	arch/Home/Altibase Docker Guide__14647741.md; arch/Home/Altibase Docker Guide/1. Overview of Docker__14647745.md; arch/Home/Altibase Docker Guide/2. Docker Installation__14647748.md; arch/Home/Altibase Docker Guide/3. Altibase Docker Image__14647754.md; arch/Home/Altibase Docker Guide/4. Creating Altibase Service Container__14647760.md; arch/Home/Altibase Docker Guide/5. Stopping_Deleting Altibase Service Container__14909445.md	S018	S018	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P214	exists	Split English target.
D068	DOCK/Home/68. Altibase GeoServer 연동가이드__14058194.md	technical_doc	arch/Home/Altibase GeoServer Integration Guide__22643004.md	S018	S018	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P214	exists	none
D069	DOCK/Home/69. Altibase를 위한 SQuirrel SQL Client Quick 가이드__12255259.md	technical_doc	arch/Home/SQuirrel SQL Client Quick Guide for Altibase__14647622.md; arch/Home/SQuirrel SQL Client Quick Guide for Altibase/1. SQuirrel SQL Client Installation__14647626.md; arch/Home/SQuirrel SQL Client Quick Guide for Altibase/2. Altibase JDBC Driver Registeration__14647628.md; arch/Home/SQuirrel SQL Client Quick Guide for Altibase/3. Integration with Altibase__14647630.md	S018	S018	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P214	exists	Split English target.
D070	DOCK/Home/70. Migration Center 사용자 가이드__19955861.md	technical_doc	arch/Home/Migration Center User Guide__19955861.md	S017	S017	S019	KO_EN_DOC_REVIEW_REPORT.md J006; PASS2_KO_EN_DOC_REVIEW_REPORT.md P213	exists	none
F01-01	faq/Home/01. 설치, 패치, 업그레이드/01-01. Altibase HDB가 지원하는 플랫폼(OS)은__9110736.md	faq	FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	S020	S020	S031	KO_EN_DOC_REVIEW_REPORT.md J007; PASS2_KO_EN_DOC_REVIEW_REPORT.md P215	exists	none
F01-02	faq/Home/01. 설치, 패치, 업그레이드/01-02. Unix 및 Linux 에서 알티베이스 서버 패치 절차__8454397.md	faq	FAQE/Home/01. Installation, Patch, Upgrade/Altibase Server Patch Procedure on Unix and Linux__16875922.md	S020	S020	S031	KO_EN_DOC_REVIEW_REPORT.md J007; PASS2_KO_EN_DOC_REVIEW_REPORT.md P215	exists	none
F01-03	faq/Home/01. 설치, 패치, 업그레이드/01-03. 알티베이스 클라이언트 설치 방법(ALTIBASE HDB 5.5.1 부터)__8455011.md	faq	FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation/Starting from ALTIBASE HDB 5.5.1__16875941.md	S020	S020	S031	KO_EN_DOC_REVIEW_REPORT.md J007; PASS2_KO_EN_DOC_REVIEW_REPORT.md P215	exists	none
F01-04	faq/Home/01. 설치, 패치, 업그레이드/01-04. 윈도우에서 알티베이스 설치 할 때 _이미 설치가 되었다_고 합니다__8454409.md	faq	FAQE/Home/01. Installation, Patch, Upgrade/What to do when installing Altibase on Windows, and it says _It has already been installed__16875943.md	S020	S020	S031	KO_EN_DOC_REVIEW_REPORT.md J007; PASS2_KO_EN_DOC_REVIEW_REPORT.md P215	exists	none
F02-01	faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md	faq	FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	S021	S021	S031	KO_EN_DOC_REVIEW_REPORT.md J007; PASS2_KO_EN_DOC_REVIEW_REPORT.md P216	exists	none
F02-02	faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md	faq	FAQE/Home/02. Operation and Management/How to modify column__16875952.md	S022	S022	S031	KO_EN_DOC_REVIEW_REPORT.md J007; PASS2_KO_EN_DOC_REVIEW_REPORT.md P216	exists	none
