source_path	unit_id	issue_type	description	action	final_status	notes
arch/Home/Altibase Precompiler Guide/4. Frequently Occurring Error Messages__22643006.md	R017-PRECOMP-ERR-DUP-001	canonical_duplicate	Detailed precompiler SQLCODE error rows are owned by R013 even though R017 reads the wildcard precompiler guide source set.	Cross-referenced the R013 canonical error catalog and kept only R017 development prevention and triage guidance in the client API topic.	resolved	Prevents duplicate divergent error catalogs while satisfying the R017 client-error boundary.
FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	R018-FAQ-DISCONNECT-006	source_variation	The source conclusion states connection failure as SQLCODE 1(0x01) and errno 32770(0x050032), while the detailed connection-failure examples show SQLCODE -327730 and Hex 50032.	Preserved the source-specific numeric variant in the topic document and semantic-unit coverage instead of normalizing the values.	accepted_source_limitation	No source document was edited; answer generation should cite the source context when giving the numeric connection-failure value.
arch/Home/ORACLE to ALTIBASE Conversion Guide__22643038.md	R020-ORACLE-ATTACH-001	legacy_attachment_label_only	The current Oracle conversion source references ALTIBASE_Oracle_변환_가이드.pdf and ORACLE_to_ALTIBASE_변환_가이드_5.5.pdf as legacy labels without downloadable URLs.	Preserved both exact labels in the topic document and attachment register without inventing URLs.	accepted_source_limitation	Matches source-stabilization legacy attachment evidence; URL-backed document attachment gap remains explicitly labeled.
arch/Home/MSSQL to ALTIBASE Conversion Guide__22643024.md	R020-MSSQL-ATTACH-001	legacy_attachment_label_only	The MSSQL conversion source references ALTIBASE_MSSQL_변환가이드.pdf as a legacy label without a downloadable URL.	Preserved the exact label in the topic document and attachment register without inventing a URL.	accepted_source_limitation	Matches source-stabilization legacy attachment evidence.
arch/Home/Altibase Oracle Conversion Guide	R020-ORACLE-LEGACY-VARIANCE	source_variation	The legacy ALTIBASE HDB 6.3 Oracle conversion split pages contain older constraints that differ from the current Oracle 12c to Altibase 7.1+ guide, including trigger, package, temporary-table, and REF CURSOR guidance.	Preserved the legacy rules separately and labeled them as legacy 6.3 guidance instead of normalizing them into current rules.	accepted_source_limitation	No source document was edited in R020; answer generation should cite current or legacy context explicitly.
arch/Home/Migration Center User Guide__19955861.md	R020-MC-SCREENSHOTS	source_visual_limitation	Migration Center UI screenshots are present in source exports but are not needed as document-format attachments and were not reconstructed in the consolidated reference.	Registered as not_document_format image evidence and preserved the procedural semantics textually.	accepted_source_limitation	The consolidated reference is answer-oriented and keeps source traceability rather than duplicating screenshots.
arch/Home/Altibase GeoServer Integration Guide__22643004.md	R020-GEOSERVER-SCREENSHOTS	source_visual_limitation	GeoServer UI screenshots are present in source exports but are not reconstructed in the consolidated reference.	Registered as not_document_format image evidence and preserved setup, store, layer, importer, and validation semantics textually.	accepted_source_limitation	No downloadable document URL was missing; screenshots remain in source.
arch/Home/SQuirrel SQL Client Quick Guide for Altibase__14647622.md	R020-SQUIRREL-SCREENSHOTS	source_visual_limitation	SQuirrel UI screenshots are present in source exports but are not reconstructed in the consolidated reference.	Registered as not_document_format image evidence and preserved driver and alias setup textually.	accepted_source_limitation	No answer-critical UI text was omitted from the consolidated procedure.
FAQE/Home/ALTIBASE HDB Architecture/ALTIBASE HDB Architecture Overview__2983417.md	R021-ARCH-OVERVIEW-IMAGE	source_visual_limitation	The Architecture Overview source is image-only and does not provide text to verify or translate.	Preserved the PNG URL as not_document_format and avoided interpreting the visual.	accepted_source_limitation	English-only auxiliary image source; no Korean-source validation label applied.
FAQE/Home/ALTIBASE HDB Architecture/How a query is executed in ALTIBASE HDB__1802795.md	R021-DIAGRAMS-ARCH	diagram_unavailable	The query execution source contains a Gliffy diagram placeholder but no downloadable diagram or image URL in the repository export.	Registered as diagram_unavailable and preserved the surrounding query-phase text.	accepted_source_limitation	No diagram was reconstructed.
FAQE/Home/ALTIBASE HDB Replication	R021-DIAGRAMS-REPLICATION	diagram_unavailable	Replication Overview, What is a Replication Conflict, How to resolve a replication conflict, and What is Offline Replicator contain seven unavailable Gliffy diagrams.	Registered each unavailable diagram and preserved source text for replication semantics.	accepted_source_limitation	No diagram was reconstructed; answer generation should rely on the textual source units.
FAQE/Home/ALTIBASE HDB Performance Tuning	R021-PERF-CANONICAL	english_only_auxiliary	R021 scope includes Performance Tuning, but this English-only corpus was already integrated by R016.	Retained canonical R016 topic and semantic-unit rows; added R021 canonical evidence rows.	accepted_english_only_auxiliary	Do not apply Korean-source validation labels; avoid duplicate divergent semantic rows.
FAQE/Home/ALTIBASE HDB Troubleshooting	R021-TRB-CANONICAL	english_only_auxiliary	R021 scope includes Troubleshooting, but this English-only corpus was already integrated by R014.	Retained canonical R014 topic and semantic-unit rows and R021 canonical evidence rows.	accepted_english_only_auxiliary	Do not apply Korean-source validation labels; avoid duplicate divergent semantic rows.
