source_path	source_class	primary_topic	secondary_topics	owner_job	mapped_status	notes
FAQE/Home/02. Operation and Management/How to change sys user password__16876004.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to change the database's db name__16875966.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to change the path of log anchor, online log file, archive log file, and double write file__16876052.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to change the tablespace data file path__16876049.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to check the history of adding datafiles__16875969.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to create a user (CREATE USER) and change a password (ALTER USER)__16876036.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to create and execute Job objects__16876042.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to forcefully close a session that is being locked__16875986.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to modify column__16875952.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to resolve when LOCK TIMEOUT occurs__16875984.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to start and stop the database__22642937.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/How to startup Altibase automatically when booting from HP-UX__16875976.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Maximum Capacity Specifications for Altibase__16875989.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Notes on using floating point data type (double, float)__16875974.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Notes_Considerations when changing TRANSACTION_TABLE_SIZE__16876013.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/Notes_Considerations when increasing the number of concurrent connection sessions (MAX_CLIENT)__16876028.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/The OS time and the DB time do not match__22642939.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/User password length limitation - Differences by version__22642941.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/What is MEM_MAX_DB_SIZE__16875991.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/When log disk is FULL and its countermeasures__16876034.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/When server create errors occur after DB name change__16875972.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	Korean-source-verified	llm-reference/03-operation-administration-security.md	none	R008	mapped	R008 semantic-unit coverage complete; topic routing initialized by R003.
FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/DDL operation on the table for Altibase replication__22642943.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/How to add_delete replication target table__16876094.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/How to change replication object IP__16876079.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/How to create_delete replication objects__16876082.md	Link-validated Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/Replication give-up__22642945.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/03. Replication/Replication monitoring query__22642947.md	Korean-source-verified	llm-reference/05-replication-ha.md	none	R010	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R010.
FAQE/Home/04. Backup and Recovery/How to recover cold backup by changing directory path__16876133.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/04. Backup and Recovery/Online Backup and Time Based Recovery__16876135.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Create database object and upload data__16876145.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Data download using iloader__16876147.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader__16876103.md	Korean-source-verified	llm-reference/04-backup-recovery.md	none	R009	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R009.
FAQE/Home/05. SQL/Comparison between VARCHAR and CHAR types__16876151.md	Korean-source-verified	llm-reference/08-sql-performance-tuning.md	none	R015	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R015.
FAQE/Home/05. SQL/How to check the privileges granted to an object__16876153.md	Korean-source-verified	llm-reference/08-sql-performance-tuning.md	none	R015	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R015.
FAQE/Home/06. Stored Procedure/How to check the contents of stored procedure__16876159.md	Korean-source-verified	llm-reference/08-sql-performance-tuning.md	none	R015	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R015.
FAQE/Home/06. Stored Procedure/How to check the number of records affected by DML within the stored procedure__16876157.md	Link-validated Korean-source-verified	llm-reference/08-sql-performance-tuning.md	none	R015	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R015.
FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/How to manage Spring+iBatis transaction__16876194.md	Link-validated Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/JDBC/How to change the jdbc.trc file creation location__16876175.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/JDBC/How to use Fail-Over in Altibase JDBC__16876173.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/JDBC/Simultaneous connections to different Altibase versions via JDBC__22642951.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/ODBC/32-bit ODBC installation on 64-bit Windows__22642957.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/ODBC/Integrating with unix_odbc__16876187.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/ODBC/ODBC function, SQLFreeStmt__16876183.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/07. Development and API/PHP/Hangul is broken when using php__16876191.md	Korean-source-verified	llm-reference/09-development-client-api.md	none	R018	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R018.
FAQE/Home/08. Monitoring/Disk table and index usage/ALTIBASE HDB 4.3.9.x__16876229.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk table and index usage/ALTIBASE HDB 5.1.5.x__16876234.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk table and index usage/ALTIBASE HDB 5.3.x, 5.5.1, 6.1.1, 6.3.1__16876240.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk table and index usage__16876226.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 4.3.9__16876249.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 5.1.5__16876251.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 5.3.3, 5.3.5__16876253.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Disk tablespace usage/ALTIBASE HDB 5.5.1, 6.1.1, 6.3.1__16876255.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/How to determine which queries are being rolled back__16876296.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/How to log queries performed in Altibase (altiProfile)__22642959.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/How to set up and execute altimon__16876266.md	Link-validated Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Lock related properties__16876204.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Memory table and index usage__16876259.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Memory tablespace usage/ALTIBASE HDB 5.5.1, 6.1.1, 6.3.1__16876263.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Monitoring Tools for Windows__16876220.md	Link-validated Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/System information by OS__16876206.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Table_Column Definition__22642961.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Undo Tablespace/Monitoring method when undo tablespace usage increases__22642963.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/08. Monitoring/Undo Tablespace/Undo tablespace usage__22642965.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	none	R011	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R011.
FAQE/Home/09. Error Messages/Closed Socket by client is Detected__16876319.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-0109D Insufficient memory__16876324.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11030 ( 69680) The data file cannot be extended because the requested size is bigger than the maximum size (FID_0%d__16876378.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11036 The data file is in use__16876380.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11049 ( 69705) Too many pages are allocated ( Maximum Number of Pages= #)__16876385.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-1105D Unable to begin a new update statement__22642969.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11075 The transaction has exceeded the lock timeout specified by the user__16876388.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11118 ( 69912) The update log size '_' is bigger than TRX_UPDATE_MAX_LOGSIZE '_'__16876399.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11183 ( 70019) Insufficient page descriptor area in the temp table__16876409.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-11184 ( 70020) Insufficient free space in work area__16876418.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-21010 Value overflow__16876422.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-21011 _ Invalid literal__16876425.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-311E0 The estimated size of the index key exceeds the maximum limit__16876328.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-31283 Unable to create a primary key or a unique key constraint in the local non-prefixed index__16876430.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-4103C (266300) Request of fetching data to an unprepared SQL statement__16876347.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-41059 ( 266329) Task pool overflow. Check properties__16876433.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-410D2 (266450) Fetch out of sequence__16876332.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-5102E ( 331822) Invalid cursor state__16876356.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-71018 ( 462872) Failed to invoke a system function, read() or Failed to invoke the read() system function__16876441.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-71019(errno=104) Failed to invoke a system function, write()__16876443.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-7101D ( 462877) Protocol header error__16876373.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/ERR-91015 ( 593941) Communication failure__22642976.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/How to check the 8-digit errorcode of altibase_qp.log__16876313.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/Not found data__16876451.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/[Notify _ Fetch Timeout] Session Closed by Server__16876301.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/[Warning] Memory allocation failed__16876308.md	Link-validated Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/altibase_boot.log - TRY_COUNT, LOCK_COUNT, MISS_COUNT__22642967.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/09. Error Messages/tablespace does not have enough free space error__16876454.md	Korean-source-verified	llm-reference/07-troubleshooting-error-messages.md	none	R013	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R013.
FAQE/Home/11. Utilities/AdminCenter2 execution file__16876465.md	Link-validated Korean-source-verified	llm-reference/11-migration-conversion-tools.md	none	R020	mapped	R003 topic routing complete; link or attachment evidence was validated in Phase 2; detailed semantic-unit extraction belongs to R020.
FAQE/Home/11. Utilities/iLoader/An error occurs when uploading a DOS format data file to iloader__16876469.md	Korean-source-verified	llm-reference/11-migration-conversion-tools.md	none	R020	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R020.
FAQE/Home/12. Others/Building a Large-Scale DRDB Index__22642978.md	Korean-source-verified	llm-reference/08-sql-performance-tuning.md	none	R016	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R016.
FAQE/Home/12. Others/Thread process debugging method__16876474.md	Korean-source-verified	llm-reference/06-monitoring-diagnostics.md	llm-reference/07-troubleshooting-error-messages.md	R012	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R012.
FAQE/Home/13. General/The entire database exists in memory. Is there any problem with the safety of the data__22642980.md	Korean-source-verified	llm-reference/02-architecture-storage-concepts.md	none	R006	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R006.
FAQE/Home/13. General/What interface does Altibase provide__22642982.md	Korean-source-verified	llm-reference/02-architecture-storage-concepts.md	none	R006	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R006.
FAQE/Home/13. General/What is the biggest difference between Altibase and disk-based DBMS__16876485.md	Korean-source-verified	llm-reference/02-architecture-storage-concepts.md	none	R006	mapped	R003 topic routing complete; detailed semantic-unit extraction belongs to R006.
FAQE/Home/ALTIBASE HDB Administration/How to terminate a session__1802689.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/Miscellaneous queries__1802687.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Objects__1802681.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Replication__1802683.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Sessions__1802677.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Statements__1802679.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Administration/Useful SQL/SQL about Tablespaces__1802685.md	English-only source	llm-reference/03-operation-administration-security.md	llm-reference/06-monitoring-diagnostics.md	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
FAQE/Home/ALTIBASE HDB Architecture/ALTIBASE HDB Architecture Overview__2983417.md	English-only source	llm-reference/02-architecture-storage-concepts.md	none	R021	mapped_with_risk	R003 topic routing complete; English-only auxiliary source, label explicitly; detailed semantic-unit extraction belongs to R021.
