source_path	label	related_evidence_path	source_class	action	risk	notes
DOCK/Home/36. Altibase 개발가이드__7341274.md	ALTIBASE_개발가이드.pdf	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D036-U021); source-stabilization/residual-korean-classification.tsv	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy document placeholder is preserved as a filename only; URL-backed technical attachments are tracked separately.
DOCK/Home/36. Altibase 개발가이드__7341274.md	ALTIBASE_개발가이드_5.3.pdf	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D036-U022); source-stabilization/residual-korean-classification.tsv	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy document placeholder is preserved as a filename only with Altibase v5.3 context; no URL is inferred.
DOCK/Home/40. Oracle to Altibase 변환가이드__7341605.md	ALTIBASE_Oracle_변환_가이드.pdf	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D040-U005); source-stabilization/residual-korean-classification.tsv	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy document placeholder is preserved as a filename only with Altibase v6 and Oracle 11g context.
DOCK/Home/40. Oracle to Altibase 변환가이드__7341605.md	ORACLE_to_ALTIBASE_변환_가이드_5.5.pdf	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D040-U006); source-stabilization/residual-korean-classification.tsv	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy document placeholder is preserved as a filename only with Altibase v5 and Oracle 10g context.
DOCK/Home/44. APRE_C_C++ New Features & 업그레이드 가이드__13435760.md	APRE_New_Features_업그레이드_가이드.pdf	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D044-U005); source-stabilization/residual-korean-classification.tsv	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy document placeholder is preserved as a filename only; do not create a synthetic download URL.
DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	JAVA 개발 가이드	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D058-U010)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy reference hash label has no source URL; English target preserves surrounding Hibernate LOB transaction guidance without a fake link.
DOCK/Home/64. Altibase MyBatis 연동 가이드__7340818.md	0	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D064-U009)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy hash label is the error-code prefix in a LobLocator SQLException example; English target preserves the error text without a hash link.
DOCK/Home/64. Altibase MyBatis 연동 가이드__7340818.md	0	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D064-U010)	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy hash label is the error-code prefix in a second LobLocator SQLException example; English target preserves the error text without a hash link.
DOCK/Home/65. MSSQL to Altibase 변환가이드__7341431.md	ALTIBASE_MSSQL_변환가이드.pdf	semantic-coverage/matrices/S019-technical-attachments-and-source-links.tsv (S019-D065-U003); source-stabilization/residual-korean-classification.tsv	technical_source_limitation	no downloadable URL in source	no resolvable URL in Korean source	Legacy document placeholder is preserved as a filename only; URL-backed technical attachments are tracked separately.
faq/Home/02. 운영 및 관리/02-12. MEM_MAX_DB_SIZE 프로퍼티 설정 변경__8454891.md	total_memory_tablespaces_usage.txt	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv (S031-L010)	faq_source_limitation	no downloadable URL in source	no downloadable URL in Korean source	Legacy FAQ text attachment label is preserved as plain text in the English target; no URL is inferred.
faq/Home/08. 모니터링/08-10. 알티몬(altimon) 설정 및 실행 방법__6979592.md	ALTIMON USER GUIDE	semantic-coverage/matrices/S031-faq-attachments-english-only-classification.tsv (S031-L068)	legacy_attachment_label_only	no downloadable URL in source	original Korean label is hash-only; English uses same-page anchor and preserved PDF URL	Inventory records the original hash-only label without treating it as a missing URL-backed attachment.
