path	source_class	evidence_path	allowed_phase3_use	risk	notes
FAQE/Home/02. Operation and Management/How to change sys user password__16876004.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-15); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-15. sys 유저 패스워드 변경 방법__6521708.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to change the database's db name__16875966.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-04); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-04. Database 의 db name을 바꾸는 방법__10059840.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to change the path of log anchor, online log file, archive log file, and double write file__16876052.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-26); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-26. 로그앵커, 온라인 로그파일, 아카이브 로그파일, 더블 라이트(Double Write)파일 경로 변경 방법__14057689.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to change the tablespace data file path__16876049.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-25); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-25. 테이블스페이스 데이터 파일 경로 변경 방법__9109934.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to check the history of adding datafiles__16875969.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-05); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-05. Datafile 을 추가한 이력 확인 방법__8454956.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to create a user (CREATE USER) and change a password (ALTER USER)__16876036.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-21); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-21. 사용자 생성(CREATE USER) 및 패스워드 변경(ALTER USER) 방법__9110757.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to create and execute Job objects__16876042.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-23); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-23. 작업(Job)객체 생성 및 실행 방법__9109696.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to forcefully close a session that is being locked__16875986.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-11A); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-11. Lock 잡고 있는 세션을 강제로 종료하는 방법__9110706.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to modify column__16875952.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-02. column modify 하는 방법__8454851.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to resolve when LOCK TIMEOUT occurs__16875984.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-10); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-10. LOCK TIMEOUT 발생 시 조치 방법__9110702.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to start and stop the database__22642937.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-03. Database 를 stop 하고 start 하는 방법__9764972.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/How to startup Altibase automatically when booting from HP-UX__16875976.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-08); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-08. HP-UX에서 부팅 시 알티베이스를 자동으로 시작(startup)하는 방법__9110724.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Maximum Capacity Specifications for Altibase__16875989.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-11B); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-11. Maximum Capacity Specifications for Altibase__9110717.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Notes on using floating point data type (double, float)__16875974.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-07); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-07. floating point 형 data type (double, float) 사용 시 주의사항__8454981.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Notes_Considerations when changing TRANSACTION_TABLE_SIZE__16876013.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-17); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-17. TRANSACTION_TABLE_SIZE 변경 시 고려사항__7341337.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/Notes_Considerations when increasing the number of concurrent connection sessions (MAX_CLIENT)__16876028.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-19); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-19. 동시 접속 세션 수(MAX_CLIENT) 증가 시 고려사항__7341076.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/The OS time and the DB time do not match__22642939.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-27); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-27. OS시간과 DB시간이 맞질 않습니다__22642857.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/User password length limitation - Differences by version__22642941.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-22); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-22. 사용자 패스워드 길이 제약 - 버전 별 차이__7341322.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/What is MEM_MAX_DB_SIZE__16875991.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-12); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	legacy attachment label tracked separately; do not infer a missing URL	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-12. MEM_MAX_DB_SIZE 프로퍼티 설정 변경__8454891.md audited by S022; only legacy no-downloadable-URL evidence applies.
FAQE/Home/02. Operation and Management/When log disk is FULL and its countermeasures__16876034.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-20); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-20. 로그디스크 FULL이 발생하는 경우와 대처 방법__9110748.md audited by S022 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/When server create errors occur after DB name change__16875972.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-06); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-06. DB 이름 변경 후 server create 오류발생시__8454421.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F02-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/02. 운영 및 관리/02-01. [Linux] Altibase 서버 프로세스 자동 시작 스크립트 등록 방법__12517478.md audited by S021 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-01. replication conflict 발생원인과 해결방법__9110676.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/DDL operation on the table for Altibase replication__22642943.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-03. 알티베이스 이중화 대상 테이블에 대한 DDL 작업__8454667.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/How to add_delete replication target table__16876094.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-07); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-07. 이중화 대상 테이블 추가_삭제 방법__13008994.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/How to change replication object IP__16876079.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-05); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-05. 이중화 객체 IP 변경 방법__12517463.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-02. 동일 IP로 여러 개의 이중화 객체를 생성하는 방법__12517469.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/How to create_delete replication objects__16876082.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-06); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-06. 이중화 객체 생성 및 삭제 방법__13008990.md audited by S023; E006 records URL/link preservation or non-document-format exclusion.
FAQE/Home/03. Replication/Replication give-up__22642945.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-04); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-04. 이중화 give-up에 대해__9110761.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/03. Replication/Replication monitoring query__22642947.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F03-08); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/03. 이중화/03-08. 이중화 모니터링 쿼리__9110681.md audited by S023 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/How to recover cold backup by changing directory path__16876133.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-02. Cold Backup한 것을 Directory 경로변경 하여 복구하는 방법__9110699.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/Online Backup and Time Based Recovery__16876135.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-03. Online Backup 및 Time Based Recovery 방법__9110695.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Create database object and upload data__16876145.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-01-04); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-04. 데이터베이스 객체 생성 및 데이터 업로드__7341702.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Data download using iloader__16876147.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-01-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-03. iloader 를 이용한 데이터 다운로드__7341700.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-01-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-02. aexport 를 이용한 데이터베이스 객체 백업__7341698.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-01-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용/04-01-01. aexport, iloader 란__7341696.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader__16876103.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F04-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/04. 백업 및 복구/04-01. aexport 및 iloader 이용__7341694.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/05. SQL/Comparison between VARCHAR and CHAR types__16876151.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F05-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/05. SQL/05-01. varchar, char 타입 비교__9110650.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/05. SQL/How to check the privileges granted to an object__16876153.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F05-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/05. SQL/05-02. 객체에 부여된 권한을 확인하는 방법__8454634.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/06. Stored Procedure/How to check the contents of stored procedure__16876159.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F06-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/06. Stored Procedures/06-02. 저장 프로시저 내용 확인 방법__9110656.md audited by S024 with Phase 1 COMPLETE coverage.
FAQE/Home/06. Stored Procedure/How to check the number of records affected by DML within the stored procedure__16876157.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F06-01); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	none	Korean-core FAQE target for faq/Home/06. Stored Procedures/06-01. Stored Procedure 내에서 DML 로 영향 받은 레코드 수 확인 방법__8454526.md audited by S024; E006 records URL/link preservation or non-document-format exclusion.
FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-01. Connection 연결이 끊어지는 경우와 각 경우의 에러 코드 및 에러 메세지(APRE_C_C++, SQLCLI)__9110022.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/How to manage Spring+iBatis transaction__16876194.md	Link-validated Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-05); source-stabilization/url-backed-attachments.tsv	Primary Phase 3 source; preserve recorded URLs and attachment status.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-05. Spring+iBatis 트랜잭션 관리 방법__9109742.md audited by S025; E006 records URL/link preservation or non-document-format exclusion.
FAQE/Home/07. Development and API/JDBC/How to change the jdbc.trc file creation location__16876175.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-02-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-02. JDBC/07-02-02. jdbc.trc 파일 생성 위치 변경 방법__8454703.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/JDBC/How to use Fail-Over in Altibase JDBC__16876173.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-02-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-02. JDBC/07-02-01. Altibase JDBC에서 Fail-Over 사용하는 방법은__9110740.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/JDBC/Simultaneous connections to different Altibase versions via JDBC__22642951.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-02-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-02. JDBC/07-02-03. JDBC를 통한 서로 다른 Altibase 버전 동시 접속__22642863.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/ODBC/32-bit ODBC installation on 64-bit Windows__22642957.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-03-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-03. ODBC/07-03-01. 64-bit Windows에서 32-bit ODBC 설치__9110670.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/ODBC/Integrating with unix_odbc__16876187.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-03-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-03. ODBC/07-03-03. unix_odbc와 연동하기__9110646.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/ODBC/ODBC function, SQLFreeStmt__16876183.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-03-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-03. ODBC/07-03-02. ODBC 함수, SQLFreeStmt__9110024.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/07. Development and API/PHP/Hangul is broken when using php__16876191.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F07-04-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/07. 개발 및 API/07-04. PHP/07-04-01. php 사용중인데 한글이 깨집니다__8454801.md audited by S025 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk table and index usage/ALTIBASE HDB 4.3.9.x__16876229.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-05-01); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-05. 디스크 테이블 및 인덱스 사용량/08-05-01. ALTIBASE HDB 4.3.9.x__7342017.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk table and index usage/ALTIBASE HDB 5.1.5.x__16876234.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-05-02); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-05. 디스크 테이블 및 인덱스 사용량/08-05-02. ALTIBASE HDB 5.1.5.x__7342019.md audited by S026 with Phase 1 COMPLETE coverage.
FAQE/Home/08. Monitoring/Disk table and index usage/ALTIBASE HDB 5.3.x, 5.5.1, 6.1.1, 6.3.1__16876240.md	Korean-source-verified	semantic-coverage/doc-mapping.tsv (F08-05-03); KO_EN_SEMANTIC_COVERAGE_REPORT.md	Primary Phase 3 source; may be described as Korean-source-verified.	none	Korean-core FAQE target for faq/Home/08. 모니터링/08-05. 디스크 테이블 및 인덱스 사용량/08-05-03. ALTIBASE HDB 5.3.x, 5.5.1, 6.1.1, 6.3.1__7342021.md audited by S026 with Phase 1 COMPLETE coverage.
