path	line	class	excerpt	action	evidence	risk	notes
arch/Home/MSSQL to ALTIBASE Conversion Guide__22643024.md	579	intentional_attachment_filename	The Korean source lists the legacy document placeholder `ALTIBASE_MSSQL_변환가이드.pdf` without a downloadable URL.	preserved	Hangul is inside a legacy attachment filename placeholder; surrounding English text is already translated.	none	Legacy attachment filename is intentionally preserved for traceability.
arch/Home/Migration Center User Guide__19955861.md	641	intentional_attachment_filename	Original downloadable document: [Migration_Center_사용자가이드.pdf](https://docs.altibase.com/download/attachments/19955861/Migration_Center_%EC%82%AC%EC%9A%A9%EC%9E%90%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1701652961000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Altibase_Oracle Comparison__16875638.md	609	intentional_attachment_filename	- [ALTIBASE_ORACLE_비교자료.pdf](https://docs.altibase.com/download/attachments/14058137/ALTIBASE_ORACLE_%EB%B9%84%EA%B5%90%EC%9E%90%EB%A3%8C.pdf?version=1&modificationDate=1697697201000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Altibase VC 2010 Development Guide__19334121.md	43	intentional_attachment_filename	Downloadable document: [ALTIBASE_VC_2010_개발가이드.pdf](https://docs.altibase.com/download/attachments/19334121/ALTIBASE_VC_2010_%EA%B0%9C%EB%B0%9C%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1698738784000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	353	intentional_attachment_filename	- 2023.12 version: [202312_Altibase_디스크IO_병목을_고려한_볼륨구성_가이드.pdf](https://docs.altibase.com/download/attachments/11698408/202312_Altibase_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1702282370000&api=v2) (Altibase 6.5 or later)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	354	intentional_attachment_filename	- 2015.11 version: [201511_ALTIBASE_디스크IO_병목을_고려한_볼륨구성_가이드.pdf](https://docs.altibase.com/download/attachments/11698408/201511_ALTIBASE_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701925177000&api=v2) (Altibase 6)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	355	intentional_attachment_filename	- 2009.12 version: [200912_ALTIBASE_디스크IO_병목을_고려한_볼륨구성_가이드.pdf](https://docs.altibase.com/download/attachments/11698408/200912_ALTIBASE_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701925145000&api=v2) (Altibase 5)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
FAQE/Home/03. Replication/How to create_delete replication objects__16876082.md	30	intentional_attachment_filename	- [D24_ALTIBASE_효율적인_이중화_가이드.pdf](https://docs.altibase.com/download/attachments/13008990/D24_ALTIBASE_%ED%9A%A8%EC%9C%A8%EC%A0%81%EC%9D%B8_%EC%9D%B4%EC%A4%91%ED%99%94_%EA%B0%80%EC%9D%B4%EB%93%9C1.pdf?version=1&modificationDate=1544508306000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
FAQE/Home/03. Replication/How to create_delete replication objects__16876082.md	31	intentional_attachment_filename	- [D67_ALTIBASE_이중화_제약사항_가이드.pdf](https://docs.altibase.com/download/attachments/13008990/D67_ALTIBASE_%EC%9D%B4%EC%A4%91%ED%99%94_%EC%A0%9C%EC%95%BD%EC%82%AC%ED%95%AD_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1544508306000&api=v2)	preserved	Downloadable Korean source attachment filename and docs.altibase.com URL are intentionally preserved.	none	Preserve the exact attachment label and encoded URL filename.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	97	intentional_sample_data	iSQL> insert into hangul_t values('US7ASII_한글테스트합니다');	preserved	Hangul is deliberate SQL sample data for a character-set conversion procedure.	none	Sample data must remain unchanged.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	101	intentional_sample_data	C1 : US7ASII_한글테스트합니다	preserved	Hangul is expected command output from the deliberate sample value.	none	Sample output must remain unchanged.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	129	intentional_sample_data	"한글 데이터입니다"	preserved	Hangul is deliberate exported data content used in the character-set conversion procedure.	none	Sample data must remain unchanged.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	219	intentional_sample_data	C1 : US7ASII_한글테스트합니다 .	preserved	Hangul is expected command output from the deliberate sample value.	none	Sample output must remain unchanged.
