path	manifest_entry_id	checked_fields	status	action	body_chars_manifest	body_chars_actual	word_count_manifest	word_count_actual	risk	notes
DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	7341028	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	34859	34859	4178	4178	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/30. Altibase JBoss 연동가이드__13437492.md	13437492	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	16875	16875	1886	1886	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/31. Altibase 설치가이드__11698403.md	11698403	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	20510	20510	2867	2867	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/32. Altibase와 unixODBC 연동 가이드__11698379.md	11698379	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	12567	12567	1736	1736	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/33. Altibase 개발자교육__19333461.md	19333461	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1447	1447	158	158	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/34. Altibase Precompiler 가이드__11698385.md	11698385	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	39352	39352	6290	6290	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/35. Altibase APRE(SES) _C_C++ Makefile__11698493.md	11698493	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	32955	32955	4603	4603	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/36. Altibase 개발가이드__7341274.md	7341274	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	39028	39028	6821	6821	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/37. Altibase SQL 튜닝 가이드__19333563.md	19333563	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1214	1214	154	154	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/38. Altibase VC 2008 개발가이드__19333567.md	19333567	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1276	1276	156	156	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/39. Altibase, Oracle 비교 자료__14058137.md	14058137	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	31080	31080	6757	6757	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/40. Oracle to Altibase 변환가이드__7341605.md	7341605	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	48806	48806	8970	8970	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/41. Altibase Quick Install & Start for UNIX__13436834.md	13436834	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	38752	38752	5028	5028	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/42. Altibase 설치 시 발생할 수 있는 문제상황과 조치__13437056.md	13437056	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8405	8405	1200	1200	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/43. Altibase STARTUP _ STOP 과정의 이해__13434993.md	13434993	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8322	8322	1193	1193	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/44. APRE_C_C++ New Features & 업그레이드 가이드__13435760.md	13435760	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11703	11703	1873	1873	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/45. Altibase 운영을 위한 시스템 리소스 용량산정 가이드__14057887.md	14057887	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	13168	13168	2906	2906	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/46. Altibase 버전 간 마이그레이션 가이드__19333688.md	19333688	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	14264	14264	2114	2114	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/47. 문제분석을 위한 OS별 유틸리티 사용 가이드__13436866.md	13436866	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	18806	18806	2397	2397	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/48. UNIX Memory Management__13436842.md	13436842	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	10317	10317	1843	1843	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/49. Altibase 이중화 제약사항 가이드__19333729.md	19333729	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	10059	10059	1754	1754	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/50. Altibase 백업정책 결정을 위한 고려사항__14057586.md	14057586	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	13743	13743	2528	2528	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/51. Altibase window ADO.NET 개발 가이드__11698513.md	11698513	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	12945	12945	1403	1403	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/52. Altibase WebSphere 연동 가이드__13435602.md	13435602	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	28519	28519	2490	2490	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/53. Windows 환경의 Altibase ODBC 개발 가이드__13436856.md	13436856	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8951	8951	1074	1074	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/54. Altibase Spring 연동 가이드__7340945.md	7340945	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	32555	32555	3480	3480	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/55. Altibase iBATIS 연동가이드__7340053.md	7340053	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	42331	42331	4427	4427	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/56. JAVA 개발 가이드__14057500.md	14057500	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	21406	21406	2776	2776	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/57. Altibase 운영을 위한 Linux 설정 가이드__13436485.md	13436485	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	40173	40173	5930	5930	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/58. Altibase Hibernate 연동가이드__14057878.md	14057878	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	41879	41879	4080	4080	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/59. Altibase 모니터링 쿼리 가이드__10060431.md	10060431	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	122904	122904	15804	15804	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/60. Altibase WebLogic 연동가이드__7340101.md	7340101	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	30211	30211	3260	3260	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/61. Altibase VC 2010 개발가이드__19334121.md	19334121	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1276	1276	156	156	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/62. Altibase CPU 과부하 현상에 대한 분석가이드__11698396.md	11698396	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	15733	15733	2807	2807	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/63. Altibase Memory 사용량 증가 분석가이드__11698518.md	11698518	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	14091	14091	2383	2383	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/64. Altibase MyBatis 연동 가이드__7340818.md	7340818	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	68839	68839	7293	7293	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/65. MSSQL to Altibase 변환가이드__7341431.md	7341431	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	25435	25435	4474	4474	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/66. Altibase PHP 연동가이드__7341461.md	7341461	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4096	4096	590	590	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/67. Altibase 도커 가이드__14057660.md	14057660	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	33635	33635	3377	3377	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/68. Altibase GeoServer 연동가이드__14058194.md	14058194	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11034	11034	936	936	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/69. Altibase를 위한 SQuirrel SQL Client Quick 가이드__12255259.md	12255259	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5245	5245	512	512	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
DOCK/Home/70. Migration Center 사용자 가이드__19955861.md	19955861	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	50633	50633	7876	7876	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation/Starting from ALTIBASE HDB 5.5.1__16875941.md	16875941	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8054	8054	821	821	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/01. Installation, Patch, Upgrade/Altibase Server Patch Procedure on Unix and Linux__16875922.md	16875922	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	13054	13054	1677	1677	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/01. Installation, Patch, Upgrade/What Platforms (OS) Altibase HDB supports__16875920.md	16875920	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2916	2916	515	515	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/01. Installation, Patch, Upgrade/What to do when installing Altibase on Windows, and it says _It has already been installed__16875943.md	16875943	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1668	1668	202	202	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Altibase Server Configuration for IPC Communication__22642933.md	22642933	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6232	6232	755	755	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Automatic altibase startup during OS booting in Solaris__16875996.md	16875996	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5060	5060	630	630	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Can PUBLIC SYNONYM be dropped__16875993.md	16875993	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1744	1744	213	213	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Can table data be saved on disk and only indexes can be created in memory__16876008.md	16876008	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1624	1624	241	241	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Database Security Checklist__22642935.md	22642935	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	24810	24810	3111	3111	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Detailed procedure for changing character set__16876045.md	16876045	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6925	6925	911	911	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to change sys user password__16876004.md	16876004	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3743	3743	472	472	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to change the database's db name__16875966.md	16875966	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6085	6085	682	682	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to change the path of log anchor, online log file, archive log file, and double write file__16876052.md	16876052	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6500	6500	668	668	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to change the tablespace data file path__16876049.md	16876049	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	12611	12611	1670	1670	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to check the history of adding datafiles__16875969.md	16875969	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3449	3449	439	439	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to create a user (CREATE USER) and change a password (ALTER USER)__16876036.md	16876036	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2148	2148	236	236	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to create and execute Job objects__16876042.md	16876042	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	12142	12142	1587	1587	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to forcefully close a session that is being locked__16875986.md	16875986	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2095	2095	243	243	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to modify column__16875952.md	16875952	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4519	4519	604	604	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to resolve when LOCK TIMEOUT occurs__16875984.md	16875984	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3956	3956	499	499	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to start and stop the database__22642937.md	22642937	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	13808	13808	1591	1591	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/How to startup Altibase automatically when booting from HP-UX__16875976.md	16875976	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7266	7266	923	923	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Maximum Capacity Specifications for Altibase__16875989.md	16875989	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1247	1247	176	176	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Notes on using floating point data type (double, float)__16875974.md	16875974	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6646	6646	778	778	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Notes_Considerations when changing TRANSACTION_TABLE_SIZE__16876013.md	16876013	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	11021	11021	1569	1569	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/Notes_Considerations when increasing the number of concurrent connection sessions (MAX_CLIENT)__16876028.md	16876028	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7600	7600	860	860	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/The OS time and the DB time do not match__22642939.md	22642939	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5473	5473	574	574	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/User password length limitation - Differences by version__22642941.md	22642941	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	3710	3710	487	487	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/What is MEM_MAX_DB_SIZE__16875991.md	16875991	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	9560	9560	1197	1197	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/When log disk is FULL and its countermeasures__16876034.md	16876034	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	10952	10952	1301	1301	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/When server create errors occur after DB name change__16875972.md	16875972	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2294	2294	301	301	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/02. Operation and Management/[Linux] How to register Altibase server process auto start script__16875947.md	16875947	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	9120	9120	1165	1165	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/Causes and Solutions of Replication Conflicts__16876059.md	16876059	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5917	5917	812	812	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/DDL operation on the table for Altibase replication__22642943.md	22642943	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4683	4683	619	619	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/How to add_delete replication target table__16876094.md	16876094	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4557	4557	512	512	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/How to change replication object IP__16876079.md	16876079	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1295	1295	136	136	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/How to create multiple replication objects with the same IP__16876063.md	16876063	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4025	4025	407	407	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/How to create_delete replication objects__16876082.md	16876082	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	19784	19784	1952	1952	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/Replication give-up__22642945.md	22642945	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6505	6505	865	865	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/03. Replication/Replication monitoring query__22642947.md	22642947	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7422	7422	902	902	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/How to recover cold backup by changing directory path__16876133.md	16876133	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5543	5543	545	545	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/Online Backup and Time Based Recovery__16876135.md	16876135	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6594	6594	872	872	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Create database object and upload data__16876145.md	16876145	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6937	6937	930	930	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Data download using iloader__16876147.md	16876147	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	10091	10091	1222	1222	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/Database object backup using aexport__22642949.md	22642949	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	6109	6109	776	776	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader/What is aexport, iloader__16876105.md	16876105	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1363	1363	193	193	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/04. Backup and Recovery/Using aexport and iloader__16876103.md	16876103	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1106	1106	111	111	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/05. SQL/Comparison between VARCHAR and CHAR types__16876151.md	16876151	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1952	1952	257	257	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/05. SQL/How to check the privileges granted to an object__16876153.md	16876153	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2770	2770	277	277	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/06. Stored Procedure/How to check the contents of stored procedure__16876159.md	16876159	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7845	7845	846	846	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/06. Stored Procedure/How to check the number of records affected by DML within the stored procedure__16876157.md	16876157	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	1190	1190	118	118	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/Connection disconnection, error codes, and error messages in each case (APRE_C_C++, SQLCLI)__16876167.md	16876167	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8358	8358	789	789	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/How to manage Spring+iBatis transaction__16876194.md	16876194	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	7810	7810	566	566	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/JDBC/How to change the jdbc.trc file creation location__16876175.md	16876175	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2974	2974	378	378	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/JDBC/How to use Fail-Over in Altibase JDBC__16876173.md	16876173	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	8008	8008	939	939	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/JDBC/Simultaneous connections to different Altibase versions via JDBC__22642951.md	22642951	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2810	2810	294	294	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/ODBC/32-bit ODBC installation on 64-bit Windows__22642957.md	22642957	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	4073	4073	366	366	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/ODBC/Integrating with unix_odbc__16876187.md	16876187	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5522	5522	592	592	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/ODBC/ODBC function, SQLFreeStmt__16876183.md	16876183	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	2422	2422	316	316	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
FAQE/Home/07. Development and API/PHP/Hangul is broken when using php__16876191.md	16876191	path; body_chars; word_count	matched	No manifest edit required; metadata already matches current Markdown.	5355	5355	642	642	none	Path normalized by stripping manifest export prefix altibase_docs_md/; source path resolves.
